'name','code'
'Ind. Metals & Mining','INDMTWD'
'General Industrials','GNINDWD'
'Pharm. & Biotech','PHARMWD'
'Chemicals','CHMCLWD'
'Media','MEDIAWD'
'Automobiles & Parts','AUTMBWD'
'Ind. Transportation','INDTRWD'
'Travel & Leisure','TRLESWD'
'Ind. Engineering','INDENWD'
'Drug & Grocery Stores','PCDGSWD'
'Telecom. Svs. Prvds'.,'TELSPWD'
'Industrial Materials','INMATWD'
'Leisure Goods','LEISGWD'
'Inv. Banking & Broker','INVBBWD'
'Construction & Mats','CNSTMWD'
'Closed End Invest'.,'CEINVWD'
'Food Producers','FOODSWD'
'Elec. & Electrical Eq','ELTNCWD'
'Beverages','BEVESWD'
'Tech. Hardware, Equip','TECHDWD'
'Banks','BANKSWD'
'Consumer Services','CNSVSWD'
'Software & Comp. Svs'.,'SFTCSWD'
'Tobacco','TOBACWD'
'Electricity','ELECTWD'
'Oil, Gas and Coal','OILGCWD'
'Personal Goods','PERSGWD'
'Gas, Water & Mul Util','GWMUTWD'
'Aerospace & Defense','AERSPWD'
'REITs','REITSWD'
'Ind. Support Services','SUPSVWD'
'Hhold Gds & Home Con'.,'HHOLDWD'
'Medical Eq. Services','MEDESWD'
'Telecom. Equipment','TELEQWD'
'Retailers','RTAILWD'
'Prec. Metals & Mining','PRCMMWD'
